[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 18.98

Episode:     0 | Reward:      18.98 | Avg100:      18.98
Episode 382, Reward: 27.73413480787293
Episode 383, Reward: 5.360834776760146
Episode 384, Reward: 5.958466556078205
Episode 385, Reward: 5.889635414995767
Episode 386, Reward: 7.826261656994933
Episode 387, Reward: 26.34483389852433
Episode 388, Reward: 11.242092095008418
Episode 389, Reward: 5.959160651225468
Episode 390, Reward: 5.68329959597237
Episode 391, Reward: 16.459711070823936
Episode 392, Reward: 1.0200748212956863
Episode 393, Reward: 4.980386603275003
Episode 394, Reward: 8.897385644291766
Episode 395, Reward: 8.630992758132406
Episode 396, Reward: 6.8029454576420285
Episode 397, Reward: 5.227943878368189
Episode 398, Reward: 3.7200390022922565
Episode 399, Reward: 4.390142792149452
Episode 400, Reward: 5.984729014971253
Episode 401, Reward: -0.6771404417087693
Episode 402, Reward: 27.365648000471317
Episode 403, Reward: 8.08561404772155
Episode 404, Reward: 12.406690073278542
Episode 405, Reward: 6.428096977868486
Episode 406, Reward: 9.203201209163208
Episode 407, Reward: 26.49324359710541
Episode 408, Reward: 5.739041323635168
Episode 409, Reward: 5.714779868419284
Episode 410, Reward: 16.588367670420627
Episode 411, Reward: 17.57219884355331
Episode 412, Reward: 4.024849974364861
Episode 413, Reward: 4.078002276130834
Episode 414, Reward: 10.075471253770827
Episode 415, Reward: 10.393719263603536
Episode 416, Reward: 6.918770700155722
Episode 417, Reward: 3.1390367486669994
Episode 418, Reward: 4.992408539220478
Episode 419, Reward: 6.620636203120573
Episode 420, Reward: 17.8869584377534
Episode 421, Reward: 15.699702563117741
Episode 422, Reward: 13.287711310489708
Episode 423, Reward: 4.948895295349565
Episode 424, Reward: 5.660406706323502
Episode 425, Reward: 5.3339279450794015
Episode 426, Reward: 18.35577641947193
Episode 427, Reward: 7.420730210710934
Episode 428, Reward: 6.408289739151373
Episode 429, Reward: 8.075042110472243
Episode 430, Reward: 6.346742623303508
Episode 431, Reward: 11.514477925261398
Episode 432, Reward: 18.512978792972014
Episode 433, Reward: 12.764126675013587
Episode 434, Reward: 14.286147871481448
Episode 435, Reward: 11.018292749658366
Episode 436, Reward: 7.613973301068735
Episode 437, Reward: 9.843130589137091
Episode 438, Reward: 6.561979615014426
Episode 439, Reward: 5.198674268349057
Episode 440, Reward: 12.954202742220609
Episode 441, Reward: 16.320912466875715
Episode 442, Reward: 6.5458989569285535
Episode 443, Reward: 14.75912701951832
Episode 444, Reward: 5.312951241664659
Episode 445, Reward: 12.568460704063245
Episode 446, Reward: 7.1101525471462335
Episode 447, Reward: 21.924389228042443
Episode 448, Reward: 7.728026941660766
Episode 449, Reward: 4.816403995372178
Episode 450, Reward: 13.784390828234628
Episode 451, Reward: 6.32746339677867
Episode 452, Reward: 12.429377612761776
Episode 453, Reward: 5.050472045873643
Episode 454, Reward: 6.5790377609026525
Episode 455, Reward: 5.63371242961253
Episode 456, Reward: 18.28028841091144
Episode 457, Reward: 5.386916169295461
Episode 458, Reward: 9.820910238723728
Episode 459, Reward: 6.092324445597531
Episode 460, Reward: 3.8489313282767457
Episode 461, Reward: 8.174229396040147
Episode 462, Reward: 7.172505309217251
Episode 463, Reward: 7.312113176015074
Episode 464, Reward: 9.202361118315304
Episode 465, Reward: 18.597213801038965
Episode 466, Reward: 12.672264636417662
Episode 467, Reward: 14.253186435917922
Episode 468, Reward: 22.69022092331398
Episode 469, Reward: 5.202679634446336
Episode 470, Reward: 7.461574686696878
Episode 471, Reward: 22.03188481778188
Episode 472, Reward: 6.936209243715388
Episode 473, Reward: 7.376877944892759
Episode 474, Reward: 12.529853105934114
Episode 475, Reward: 8.011141483401161
Episode 476, Reward: 6.6892633272122985
Episode 477, Reward: 23.82326881723979
Episode 478, Reward: 19.259926390958313
Episode 479, Reward: 9.047731276571959
Episode 480, Reward: 5.377687804702443
Episode 481, Reward: 11.10995742734703
Episode 482, Reward: 12.421440681400409
Episode 483, Reward: 6.743281935717624
Episode 484, Reward: 5.3106547456725
Episode 485, Reward: 11.162099651560961
Episode 486, Reward: 26.378457240113317
Episode 487, Reward: 21.869141129200003
Episode 488, Reward: 5.775995902539593
Episode 489, Reward: 6.921521780290465
Episode 490, Reward: 9.783295569105546
Episode 491, Reward: 6.1621893413863065
Episode 492, Reward: 7.149371208154353
Episode 493, Reward: 6.317554506152379
Episode 494, Reward: 5.9890319719143825
Episode 495, Reward: -0.11435895112833838
Episode 496, Reward: 6.284219139211936
Episode 497, Reward: 6.90686386383984
Episode 498, Reward: 21.695138219890254
Episode 499, Reward: 20.634645435308588
Episode 500, Reward: 7.035201220961639
Episode 501, Reward: 7.849541978601324
Episode 502, Reward: 6.202486215700766
Episode 503, Reward: 15.566482033241746
Episode 504, Reward: 12.589648427793552
Episode 505, Reward: 16.333089221232648
Episode 506, Reward: 7.848374762644504
Episode 507, Reward: 7.680416769513419
Episode 508, Reward: 12.270869359115439
Episode 509, Reward: 6.765541260162311
Episode 510, Reward: 5.920039555326766
Episode 511, Reward: 7.532030326312763
Episode 512, Reward: 15.01993067558764
Episode 513, Reward: 39.005927550061294
Episode 514, Reward: 5.150492087861964
Episode 515, Reward: 3.7925865278166024
Episode 516, Reward: 18.00940404235467
Episode 517, Reward: 5.855658367914978
Episode 518, Reward: 4.261001632542984
