[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 1.63

Episode:     0 | Reward:       1.63 | Avg100:       1.63
[BEST MODEL SAVED] Avg100 Reward: 2.50

Episode:   278 | Reward:       1.91 | Avg100:       2.50
Episode 278, Reward: 1.90759255645218

[BEST MODEL SAVED] Avg100 Reward: 2.50

Episode:   279 | Reward:       2.60 | Avg100:       2.50
Episode 279, Reward: 2.6004433379015026

[BEST MODEL SAVED] Avg100 Reward: 2.51

Episode:   280 | Reward:       2.62 | Avg100:       2.51
Episode 280, Reward: 2.6193764581470833

[BEST MODEL SAVED] Avg100 Reward: 2.52

Episode:   281 | Reward:       3.07 | Avg100:       2.52
Episode 281, Reward: 3.069819298390318

[BEST MODEL SAVED] Avg100 Reward: 2.52

Episode:   282 | Reward:       2.44 | Avg100:       2.52
Episode 282, Reward: 2.439814368163751

[BEST MODEL SAVED] Avg100 Reward: 2.53

Episode:   283 | Reward:       2.73 | Avg100:       2.53
Episode 283, Reward: 2.728499194728841
Episode 284, Reward: 1.678464136506843
Episode 285, Reward: 1.5235457967090988

[BEST MODEL SAVED] Avg100 Reward: 2.54

Episode:   286 | Reward:       3.13 | Avg100:       2.54
Episode 286, Reward: 3.1261315730150816

[BEST MODEL SAVED] Avg100 Reward: 2.54

Episode:   287 | Reward:       2.43 | Avg100:       2.54
Episode 287, Reward: 2.4299173067241315

[BEST MODEL SAVED] Avg100 Reward: 2.55

Episode:   288 | Reward:       2.26 | Avg100:       2.55
Episode 288, Reward: 2.2621663774027447
Episode 289, Reward: 2.1170362360843864

[BEST MODEL SAVED] Avg100 Reward: 2.56

Episode:   290 | Reward:       2.23 | Avg100:       2.56
Episode 290, Reward: 2.231327215817367
Episode 291, Reward: 2.809982450940876
Episode 292, Reward: 3.203242312273713
Episode 293, Reward: 2.21164886558142
Episode 294, Reward: 2.1831812757879607
Episode 295, Reward: 2.5554943552486566
Episode 296, Reward: 2.083033005586846
Episode 297, Reward: 2.4394956863091526
Episode 298, Reward: 3.248802245181136

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   299 | Reward:       2.57 | Avg100:       2.57
Episode 299, Reward: 2.5731967641833102
Episode 300, Reward: 2.101301677353799
Episode 301, Reward: 4.9014165756552295
Episode 302, Reward: 2.54648237842157
Episode 303, Reward: 2.4568308393402285

[BEST MODEL SAVED] Avg100 Reward: 2.57

Episode:   304 | Reward:       1.78 | Avg100:       2.57
