[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 269, Reward: 5.920462951943283
Episode 270, Reward: 31.069390213106384
Episode 271, Reward: 7.540851946479087
Episode 272, Reward: 6.78883265288086
Episode 273, Reward: 8.33355294458783
Episode 274, Reward: 11.303328031467485
Episode 275, Reward: 16.312886388807573
Episode 276, Reward: 7.372869626289501
Episode 277, Reward: 12.934178666170338
Episode 278, Reward: 14.87564026326161
Episode 279, Reward: 4.084708019890172
Episode 280, Reward: 9.222753619810643
Episode 281, Reward: 5.508951596789443
Episode 282, Reward: 10.303276258612179
Episode 283, Reward: 6.714705767281826
Episode 284, Reward: 9.25439540217051
Episode 285, Reward: 20.10038941637477
Episode 286, Reward: 14.518334862610724
Episode 287, Reward: 14.004187313954834
Episode 288, Reward: 5.482693042055341
Episode 289, Reward: 6.7193936858705765
Episode 290, Reward: 7.2515853658793565
Episode 291, Reward: 4.236698717550993
Episode 292, Reward: 20.81207459042585
Episode 293, Reward: 6.899845442020159
Episode 294, Reward: 7.313960547936838
Episode 295, Reward: 26.262720736496227
Episode 296, Reward: 4.303830860091385
Episode 297, Reward: 9.0735273266338
Episode 298, Reward: 9.09999966317723
Episode 299, Reward: 8.191107260574068
Episode 300, Reward: 6.938499463788922
Episode 301, Reward: 8.537621093969948
Episode 302, Reward: 12.234042343777835
Episode 303, Reward: 9.880579877648684
Episode 304, Reward: 8.612547924236292
Episode 305, Reward: 6.685533139625673
Episode 306, Reward: 7.940232083914128
Episode 307, Reward: 19.745946164676116
Episode 308, Reward: 10.10157629567091
Episode 309, Reward: 6.669529552889701
Episode 310, Reward: 15.0915917076236
Episode 311, Reward: 10.731704183272797
Episode 312, Reward: 13.37117315963265
Episode 313, Reward: -0.08817186871815741
Episode 314, Reward: 7.338390148692378
Episode 315, Reward: 12.748461152178203
Episode 316, Reward: 23.14363440631534
Episode 317, Reward: 7.138992434734429
Episode 318, Reward: 8.528010122980591
Episode 319, Reward: 9.176663105911771
Episode 320, Reward: 7.031074897989062
Episode 321, Reward: 6.7708174834182895
Episode 322, Reward: 12.580497080480367
Episode 323, Reward: 7.365345303416962
Episode 324, Reward: 12.32266807966439
Episode 325, Reward: 22.02365597887778
Episode 326, Reward: 30.810626483253078
Episode 327, Reward: 16.068890186283923
Episode 328, Reward: 10.016398491819393
Episode 329, Reward: 12.110536992771749
Episode 330, Reward: 14.531573714254458
Episode 331, Reward: 33.34207673272286
Episode 332, Reward: 7.276366580142547
Episode 333, Reward: 9.575101940176491
Episode 334, Reward: 11.998088015831092
Episode 335, Reward: 8.318117766100118
Episode 336, Reward: 14.63315545425842
Episode 337, Reward: 11.610703169516745
Episode 338, Reward: 11.415821897700809
Episode 339, Reward: 9.754704712709115
Episode 340, Reward: 17.273669634090517
Episode 341, Reward: 13.975804888737025
Episode 342, Reward: 7.062727155961826
Episode 343, Reward: 6.736565383743029
Episode 344, Reward: 17.73571756716939
Episode 345, Reward: 6.694568997649191
Episode 346, Reward: 6.690322087488532
Episode 347, Reward: 10.491859244630355
Episode 348, Reward: 9.129403517694668
Episode 349, Reward: 7.3549285459954845
Episode 350, Reward: 9.90171225618181
Episode 351, Reward: 12.604292972061229
Episode 352, Reward: 7.979182962873944
Episode 353, Reward: 9.446374271411099
Episode 354, Reward: 7.2119037295428186
Episode 355, Reward: 6.973037667368843
Episode 356, Reward: 8.781120443976288
Episode 357, Reward: 7.639478648318319
Episode 358, Reward: 9.270638331321562
Episode 359, Reward: 21.556421261196817
Episode 360, Reward: 21.149204885434514
Episode 361, Reward: 10.260188891082562
Episode 362, Reward: 11.673955199992376
Episode 363, Reward: 8.241496705556413
Episode 364, Reward: 23.827185096257743
Episode 365, Reward: 13.264749131826264
Episode 366, Reward: 9.61749447452189
Episode 367, Reward: 15.049983460451557
Episode 368, Reward: 9.267761784101404
Episode 369, Reward: 8.679165011686791
Episode 370, Reward: 8.850403942355019
Episode 371, Reward: 18.979493075155098
Episode 372, Reward: 6.9445403658746825
Episode 373, Reward: 20.79502772746853
Episode 374, Reward: 26.08204723454318
Episode 375, Reward: 9.189199687668351
Episode 376, Reward: 3.5769955984129096
Episode 377, Reward: 7.880715334063976
Episode 378, Reward: 6.666311428176353
Episode 379, Reward: 11.322690462084676
Episode 380, Reward: 15.31058827009643
Episode 381, Reward: 5.887380543504065
Episode 382, Reward: 6.307499104128432
Episode 383, Reward: 11.697617881548263
Episode 384, Reward: 15.856107255234972
Episode 385, Reward: 12.525612245412631
Episode 386, Reward: 20.73697999797973
Episode 387, Reward: 12.767727415409432
Episode 388, Reward: 6.602724428561862
Episode 389, Reward: 6.131906651283968
Episode 390, Reward: 6.504130442494343
Episode 391, Reward: 11.913847026421903
Episode 392, Reward: 8.411004373411968
Episode 393, Reward: 8.006159152849968
Episode 394, Reward: 24.82271365496361
Episode 395, Reward: 15.014866916344552
Episode 396, Reward: 7.229441586978534
Episode 397, Reward: 14.545397339730155
Episode 398, Reward: 8.854787629771547
Episode 399, Reward: 12.915063056421584
Episode 400, Reward: 6.738624911856912
Episode 401, Reward: 9.415694625243352
Episode 402, Reward: 31.05619457789723
Episode 403, Reward: 7.080980877435778
Episode 404, Reward: 6.889307359663106
Episode 405, Reward: 34.60132393365397
Episode 406, Reward: 8.780237154041206
Episode 407, Reward: 24.183874078598137
Episode 408, Reward: 16.96321044503173
Episode 409, Reward: 15.252032705575553
Episode 410, Reward: 5.220638233562866
Episode 411, Reward: 6.4142811467588965
Episode 412, Reward: 7.0795197444597155
Episode 413, Reward: 18.06805213454041
Episode 414, Reward: 12.225560385937884
Episode 415, Reward: 7.152591118390775
Episode 416, Reward: 7.070853481632994
Episode 417, Reward: 7.673292736549021
Episode 418, Reward: 15.018310251915366
Episode 419, Reward: 17.113959788361704
Episode 420, Reward: 7.060648248936668
Episode 421, Reward: 7.377354605189298
Episode 422, Reward: 9.345709080389218
Episode 423, Reward: 11.852645787443297
Episode 424, Reward: 21.617892845414982
Episode 425, Reward: 8.41092113732626
Episode 426, Reward: 6.990550783635937
Episode 427, Reward: 11.915507328747106
Episode 428, Reward: 5.504683726539443
Episode 429, Reward: 6.984021936199789
Episode 430, Reward: 14.333379843927586
Episode 431, Reward: 13.712856222228785
Episode 432, Reward: 9.924610647546555
Episode 433, Reward: 13.91163263978637
Episode 434, Reward: 11.981497587120732
Episode 435, Reward: 7.16001494909971
Episode 436, Reward: 9.03972506709099
Episode 437, Reward: 11.030908642324583
Episode 438, Reward: 14.015592778649275
