[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode 221, Reward: 4.3983264355379745
Episode 222, Reward: 4.2809057137677105
Episode 223, Reward: 3.9958950057316063
Episode 224, Reward: 4.518309899406384
Episode 225, Reward: 5.157723635850088
Episode 226, Reward: 4.294415835871531
Episode 227, Reward: 5.078842588936028
Episode 228, Reward: 5.02892786796113
Episode 229, Reward: 4.441482610332446
Episode 230, Reward: 3.9485078042997435
Episode 231, Reward: 4.6308505464031215
Episode 232, Reward: 4.794663072331207
Episode 233, Reward: 4.218515758778874
Episode 234, Reward: 4.5863985488880115
Episode 235, Reward: 4.784512700111621
Episode 236, Reward: 4.944668284531616
Episode 237, Reward: 4.28373876142878
Episode 238, Reward: 4.213221978243235
Episode 239, Reward: 4.4697361359757615
Episode 240, Reward: 4.845045208236027
Episode 241, Reward: 3.9927556325941898
Episode 242, Reward: 4.519612115322354
Episode 243, Reward: 4.763449519950683
Episode 244, Reward: 5.027826672329406
Episode 245, Reward: 2.996697293752179
Episode 246, Reward: 4.979733949620826
Episode 247, Reward: 4.721970458663096
Episode 248, Reward: 2.3942541993348465
Episode 249, Reward: 4.316999945701761
Episode 250, Reward: 4.304580972637711
Episode 251, Reward: 4.692073423289368
Episode 252, Reward: 4.990849380656223
Episode 253, Reward: 5.0002905305013945
Episode 254, Reward: 4.1340418706197815
Episode 255, Reward: 3.9835856278772663
Episode 256, Reward: 3.762647788911151
Episode 257, Reward: 4.9287913272623864
Episode 258, Reward: 4.807578866769887
Episode 259, Reward: 4.74527213848077
Episode 260, Reward: 3.241898295614062
Episode 261, Reward: 4.334599802622587
Episode 262, Reward: 4.2800140841482435
Episode 263, Reward: 4.8376518655825835
Episode 264, Reward: 4.922523082277224
Episode 265, Reward: 4.461100439529552
Episode 266, Reward: 5.028561193032701
Episode 267, Reward: 4.9888111180706645
Episode 268, Reward: 4.136759611131659
Episode 269, Reward: 4.185438514779637
Episode 270, Reward: 4.161516147330476
Episode 271, Reward: 4.206635048023096
Episode 272, Reward: 4.302302064766042
Episode 273, Reward: 4.857069386340328
Episode 274, Reward: 3.3664510606287505
Episode 275, Reward: 4.315003309949285
Episode 276, Reward: 3.6887441288840264
Episode 277, Reward: 4.780102091915096
Episode 278, Reward: 4.919359073846047
Episode 279, Reward: 3.889071481373242
Episode 280, Reward: 4.396523801646609
Episode 281, Reward: 4.98304164019533
Episode 282, Reward: 4.82780361997459
Episode 283, Reward: 3.8332950359831814
Episode 284, Reward: 4.184210511402234
Episode 285, Reward: 4.102437090284633
Episode 286, Reward: 4.501462577703896
Episode 287, Reward: 4.828690275847396
Episode 288, Reward: 4.860563759899701
Episode 289, Reward: 4.942061300019959
Episode 290, Reward: 4.41669967504955
Episode 291, Reward: 4.193333270285721
Episode 292, Reward: 5.225421396769441
Episode 293, Reward: 4.97661187494862
Episode 294, Reward: 3.903990147263902
Episode 295, Reward: 4.758029235348533
Episode 296, Reward: 4.575647133618518
Episode 297, Reward: 4.42434642141256
Episode 298, Reward: 3.909293049833461
Episode 299, Reward: 4.370087065804119
Episode 300, Reward: 4.2372594124901255
Episode 301, Reward: 4.293402770335312
Episode 302, Reward: 4.159640172604822
Episode 303, Reward: 3.756098371617231
Episode 304, Reward: 4.156146032444697
Episode 305, Reward: 4.9180054555594745
Episode 306, Reward: 7.209738230808844
Episode 307, Reward: 4.1579170664252905
Episode 308, Reward: 3.354522120591205
Episode 309, Reward: 4.721031074373125
Episode 310, Reward: 4.158440853337773
Episode 311, Reward: 4.709770286654152
Episode 312, Reward: 3.8765677297284657
Episode 313, Reward: 3.911818845443911
Episode 314, Reward: 4.3233045994121415
